temp,CforEin,CforDev
756.1,2.9609506866235686,2.9765178164362016
756.2,2.9609609328212407,2.9765239918356654
756.3,2.9609711749973466,2.9765301648040015
756.4,2.960981413153989,2.9765363353424816
756.5,2.9609916472932634,2.976542503452379
756.6,2.961001877417266,2.9765486691349685
756.7,2.9610121035280916,2.976554832391517
756.8,2.9610223256278343,2.976560993223296
756.9,2.961032543718585,2.9765671516315777
757.0,2.961042757802433,2.9765733076176257
757.1,2.96105296788147,2.976579461182713
757.2,2.9610631739577817,2.9765856123281
757.3,2.961073376033456,2.9765917610550594
757.4,2.9610835741105745,2.976597907364853
757.5,2.9610937681912275,2.976604051258745
757.6,2.9611039582774925,2.976610192737999
757.7,2.9611141443714515,2.9766163318038816
757.8,2.9611243264751814,2.9766224684576494
757.9,2.9611345045907678,2.976628602700566
758.0,2.9611446787202795,2.976634734533892
758.1,2.9611548488657964,2.9766408639588864
758.2,2.961165015029394,2.976646990976806
758.3,2.9611751772131423,2.976653115588914
758.4,2.961185335419113,2.976659237796459
758.5,2.9611954896493775,2.9766653576007047
758.6,2.961205639906005,2.9766714750029046
758.7,2.9612157861910626,2.9766775900043125
758.8,2.961225928506616,2.9766837026061803
758.9,2.9612360668547293,2.976689812809762
759.0,2.961246201237468,2.976695920616312
759.1,2.9612563316568923,2.976702026027081
759.2,2.9612664581150647,2.9767081290433173
759.3,2.961276580614044,2.9767142296662708
759.4,2.9612866991558904,2.976720327897192
759.5,2.9612968137426554,2.9767264237373277
759.6,2.9613069243764003,2.9767325171879264
759.7,2.9613170310591763,2.976738608250231
759.8,2.961327133793037,2.976744696925494
759.9,2.961337232580033,2.9767507832149525
760.0,2.9613473274222164,2.9767568671198545
760.1,2.9613574183216342,2.9767629486414435
760.2,2.9613675052803337,2.976769027780961
760.3,2.9613775883003637,2.976775104539648
760.4,2.9613876673837654,2.976781178918744
760.5,2.9613977425325846,2.976787250919495
760.6,2.961407813748864,2.9767933205431323
760.7,2.9614178810346448,2.9767993877908983
760.8,2.961427944391964,2.9768054526640313
760.9,2.9614380038228623,2.976811515163765
761.0,2.9614480593293746,2.9768175752913377
761.1,2.9614581109135387,2.976823633047983
761.2,2.9614681585773877,2.976829688434937
761.3,2.961478202322956,2.976835741453433
761.4,2.961488242152274,2.976841792104701
761.5,2.9614982780673706,2.9768478403899765
761.6,2.961508310070276,2.9768538863104865
761.7,2.9615183381630206,2.9768599298674654
761.8,2.9615283623476287,2.9768659710621397
761.9,2.9615383826261237,2.9768720098957426
762.0,2.961548399000533,2.9768780463694955
762.1,2.9615584114728755,2.9768840804846306
762.2,2.961568420045176,2.97689011224237
762.3,2.9615784247194505,2.976896141643945
762.4,2.961588425497722,2.976902168690575
762.5,2.961598422382004,2.9769081933834864
762.6,2.9616084153743167,2.976914215723902
762.7,2.9616184044766696,2.976920235713045
762.8,2.9616283896910773,2.9769262533521323
762.9,2.961638371019557,2.9769322686423907
763.0,2.961648348464112,2.9769382815850407
763.1,2.961658322026758,2.9769442921812934
763.2,2.961668291709501,2.976950300432375
763.3,2.961678257514347,2.976956306339502
763.4,2.961688219443302,2.976962309903886
763.5,2.9616981774983717,2.976968311126749
763.6,2.961708131681557,2.9769743100093042
763.7,2.9617180819948605,2.976980306552766
763.8,2.9617280284402843,2.976986300758347
763.9,2.9617379710198253,2.9769922926272607
764.0,2.9617479097354815,2.976998282160721
764.1,2.9617578445892523,2.9770042693599352
764.2,2.9617677755831284,2.9770102542261183
764.3,2.9617777027191083,2.9770162367604764
764.4,2.961787625999183,2.977022216964222
764.5,2.9617975454253416,2.977028194838561
764.6,2.9618074609995784,2.9770341703847003
764.7,2.9618173727238792,2.9770401436038467
764.8,2.9618272806002324,2.97704611449721
764.9,2.9618371846306264,2.977052083065989
765.0,2.9618470848170437,2.9770580493113905
765.1,2.9618569811614677,2.9770640132346204
765.2,2.961866873665884,2.9770699748368794
765.3,2.9618767623322713,2.9770759341193673
765.4,2.9618866471626095,2.9770818910832895
765.5,2.96189652815888,2.977087845729845
765.6,2.961906405323056,2.9770937980602317
765.7,2.961916278657116,2.9770997480756485
765.8,2.9619261481630352,2.9771056957772966
765.9,2.961936013842786,2.977111641166371
766.0,2.961945875698343,2.977117584244067
766.1,2.9619557337316733,2.97712352501158
766.2,2.9619655879447517,2.9771294634701113
766.3,2.961975438339542,2.97713539962085
766.4,2.961985284918014,2.9771413334649885
766.5,2.9619951276821337,2.97714726500372
766.6,2.962004966633865,2.97715319423824
766.7,2.962014801775172,2.9771591211697346
766.8,2.962024633108016,2.9771650457993992
766.9,2.962034460634359,2.97717096812842
767.0,2.962044284356161,2.977176888157986
767.1,2.962054104275378,2.9771828058892846
767.2,2.9620639203939705,2.977188721323509
767.3,2.9620737327138933,2.9771946344618363
767.4,2.9620835412371,2.97720054530546
767.5,2.9620933459655445,2.9772064538555605
767.6,2.96210314690118,2.977212360113326
767.7,2.962112944045954,2.977218264079936
767.8,2.9621227374018217,2.977224165756575
767.9,2.962132526970726,2.9772300651444263
768.0,2.9621423127546183,2.977235962244669
768.1,2.9621520947554414,2.977241857058483
768.2,2.9621618729751438,2.9772477495870504
768.3,2.962171647415665,2.97725363983155
768.4,2.962181418078949,2.977259527793156
768.5,2.962191184966936,2.9772654134730505
768.6,2.962200948081566,2.9772712968724084
768.7,2.962210707424778,2.9772771779924057
768.8,2.962220462998508,2.9772830568342146
768.9,2.9622302148046935,2.977288933399015
769.0,2.9622399628452682,2.977294807687978
769.1,2.9622497071221643,2.9773006797022745
769.2,2.962259447637317,2.9773065494430786
769.3,2.962269184392656,2.9773124169115617
769.4,2.9622789173901114,2.9773182821088935
769.5,2.962288646631609,2.9773241450362447
769.6,2.962298372119082,2.977330005694784
769.7,2.9623080938544497,2.9773358640856804
769.8,2.9623178118396427,2.9773417202100987
769.9,2.9623275260765807,2.9773475740692095
770.0,2.9623372365671874,2.977353425664178
770.1,2.9623469433133844,2.9773592749961684
770.2,2.9623566463170925,2.977365122066344
770.3,2.9623663455802274,2.9773709668758697
770.4,2.962376041104709,2.977376809425913
770.5,2.9623857328924523,2.9773826497176312
770.6,2.962395420945372,2.9773884877521852
770.7,2.962405105265386,2.9773943235307385
770.8,2.9624147858544005,2.9774001570544537
770.9,2.962424462714331,2.977405988324483
771.0,2.962434135847088,2.9774118173419906
771.1,2.9624438052545785,2.9774176441081353
771.2,2.962453470938708,2.9774234686240675
771.3,2.9624631329013886,2.977429290890951
771.4,2.9624727911445214,2.977435110909938
771.5,2.9624824456700134,2.9774409286821837
771.6,2.962492096479766,2.9774467442088404
771.7,2.9625017435756784,2.9774525574910653
771.8,2.9625113869596538,2.9774583685300096
771.9,2.962521026633594,2.9774641773268242
772.0,2.9625306625993897,2.9774699838826604
772.1,2.962540294858943,2.9774757881986713
772.2,2.9625499234141484,2.9774815902760037
772.3,2.9625595482668996,2.977487390115807
772.4,2.9625691694190923,2.977493187719231
772.5,2.9625787868726143,2.9774989830874237
772.6,2.9625884006293592,2.9775047762215294
772.7,2.962598010691217,2.977510567122695
772.8,2.9626076170600717,2.977516355792065
772.9,2.9626172197378153,2.9775221422307876
773.0,2.9626268187263327,2.977527926440002
773.1,2.962636414027506,2.977533708420854
773.2,2.9626460056432222,2.977539488174488
773.3,2.962655593575361,2.977545265702041
773.4,2.9626651778258055,2.9775510410046557
773.5,2.9626747583964335,2.977556814083475
773.6,2.962684335289126,2.9775625849396348
773.7,2.962693908505758,2.9775683535742763
773.8,2.9627034780482084,2.977574119988534
773.9,2.962713043918351,2.9775798841835512
774.0,2.9627226061180596,2.977585646160462
774.1,2.9627321646492053,2.9775914059203963
774.2,2.962741719513665,2.9775971634644978
774.3,2.9627512707133046,2.9776029187938966
774.4,2.9627608182499947,2.9776086719097274
774.5,2.962770362125602,2.977614422813122
774.6,2.962779902341994,2.977620171505214
774.7,2.9627894389010354,2.977625917987136
774.8,2.962798971804595,2.977631662260013
774.9,2.9628085010545315,2.9776374043249816
775.0,2.9628180266527067,2.9776431441831694
775.1,2.962827548600987,2.9776488818357048
775.2,2.962837066901226,2.977654617283714
775.3,2.962846581555283,2.9776603505283274
775.4,2.962856092565018,2.9776660815706686
775.5,2.962865599932288,2.9776718104118634
775.6,2.962875103658945,2.9776775370530384
775.7,2.9628846037468417,2.9776832614953186
775.8,2.962894100197835,2.977688983739824
775.9,2.962903593013774,2.977694703787682
776.0,2.962913082196508,2.9777004216400096
776.1,2.962922567747888,2.977706137297934
776.2,2.9629320496697606,2.977711850762572
776.3,2.962941527963973,2.977717562035045
776.4,2.962951002632373,2.977723271116472
776.5,2.9629604736768007,2.97772897800797
776.6,2.9629699410991024,2.9777346827106594
776.7,2.96297940490112,2.977740385225657
776.8,2.962988865084694,2.9777460855540805
776.9,2.962998321651661,2.977751783697041
777.0,2.9630077746038643,2.9777574796556574
777.1,2.96301722394314,2.9777631734310437
777.2,2.9630266696713257,2.977768865024312
777.3,2.9630361117902506,2.9777745544365755
777.4,2.9630455503017554,2.9777802416689485
777.5,2.9630549852076706,2.9777859267225386
777.6,2.963064416509824,2.977791609598462
777.7,2.9630738442100535,2.977797290297823
777.8,2.963083268310181,2.9778029688217353
777.9,2.96309268881204,2.9778086451713066
778.0,2.963102105717455,2.977814319347641
778.1,2.9631115190282515,2.9778199913518524
778.2,2.9631209287462554,2.9778256611850424
778.3,2.9631303348732905,2.9778313288483176
778.4,2.963139737411175,2.9778369943427854
778.5,2.963149136361736,2.9778426576695494
778.6,2.963158531726791,2.977848318829711
778.7,2.963167923508158,2.977853977824375
778.8,2.9631773117076556,2.9778596346546427
778.9,2.963186696327101,2.9778652893216204
779.0,2.9631960773683086,2.9778709418264024
779.1,2.963205454833093,2.9778765921700923
779.2,2.9632148287232667,2.977882240353789
779.3,2.963224199040642,2.977887886378593
779.4,2.963233565787032,2.9778935302455993
779.5,2.963242928964245,2.977899171955909
779.6,2.9632522885740857,2.977904811510616
779.7,2.9632616446183695,2.9779104489108184
779.8,2.9632709970988937,2.977916084157609
779.9,2.96328034601747,2.9779217172520847
780.0,2.9632896913759015,2.97792734819534
780.1,2.963299033175988,2.9779329769884635
780.2,2.963308371419535,2.9779386036325524
780.3,2.963317706108339,2.977944228128699
780.4,2.9633270372442024,2.9779498504779913
780.5,2.963336364828923,2.9779554706815228
780.6,2.963345688864297,2.9779610887403805
780.7,2.963355009352123,2.9779667046556577
780.8,2.9633643262941924,2.9779723184284363
780.9,2.963373639692301,2.9779779300598093
781.0,2.963382949548243,2.9779835395508654
781.1,2.9633922558638064,2.9779891469026856
781.2,2.9634015586407836,2.9779947521163566
781.3,2.9634108578809633,2.9780003551929664
781.4,2.9634201535861338,2.978005956133597
781.5,2.963429445758081,2.9780115549393327
781.6,2.963438734398594,2.9780171516112555
781.7,2.963448019509454,2.97802274615045
781.8,2.9634573010924465,2.978028338557996
781.9,2.9634665791493537,2.9780339288349733
782.0,2.9634758536819588,2.978039516982465
782.1,2.963485124692037,2.978045103001548
782.2,2.9634943921813743,2.9780506868933045
782.3,2.9635036561517425,2.978056268658808
782.4,2.9635129166049214,2.9780618482991392
782.5,2.9635221735426858,2.9780674258153725
782.6,2.963531426966811,2.9780730012085885
782.7,2.9635406768790724,2.9780785744798566
782.8,2.963549923281239,2.978084145630259
782.9,2.963559166175084,2.978089714660863
783.0,2.9635684055623797,2.978095281572743
783.1,2.9635776414448896,2.978100846366975
783.2,2.9635868738243865,2.978106409044628
783.3,2.963596102702635,2.9781119696067737
783.4,2.963605328081402,2.9781175280544843
783.5,2.963614549962451,2.978123084388833
783.6,2.963623768347547,2.978128638610881
783.7,2.9636329832384507,2.9781341907217014
783.8,2.9636421946369254,2.978139740722364
783.9,2.9636514025447296,2.9781452886139324
784.0,2.9636606069636233,2.9781508343974745
784.1,2.9636698078953656,2.978156378074057
784.2,2.963679005341709,2.9781619196447475
784.3,2.963688199304414,2.9781674591106064
784.4,2.963697389785234,2.978172996472696
784.5,2.9637065767859228,2.9781785317320875
784.6,2.9637157603082316,2.9781840648898372
784.7,2.963724940353913,2.9781895959470064
784.8,2.963734116924715,2.9781951249046608
784.9,2.9637432900223897,2.9782006517638613
785.0,2.963752459648685,2.9782061765256613
785.1,2.963761625805346,2.978211699191125
785.2,2.9637707884941205,2.978217219761309
785.3,2.9637799477167506,2.978222738237275
785.4,2.963789103474983,2.9782282546200767
785.5,2.96379825577056,2.978233768910769
785.6,2.963807404605221,2.9782392811104152
785.7,2.9638165499807076,2.9782447912200625
785.8,2.9638256918987604,2.9782502992407696
785.9,2.9638348303611157,2.9782558051735903
786.0,2.963843965369511,2.9782613090195755
786.1,2.9638530969256838,2.978266810779779
786.2,2.9638622250313675,2.9782723104552535
786.3,2.9638713496882967,2.9782778080470527
786.4,2.963880470898203,2.978283303556222
786.5,2.9638895886628203,2.978288796983814
786.6,2.9638987029838795,2.9782942883308783
786.7,2.9639078138631065,2.9782997775984636
786.8,2.9639169213022325,2.978305264787615
786.9,2.963926025302985,2.9783107498993857
787.0,2.9639351258670903,2.9783162329348176
787.1,2.963944222996273,2.978321713894958
787.2,2.9639533166922583,2.978327192780852
787.3,2.963962406956768,2.978332669593543
787.4,2.9639714937915227,2.978338144334079
787.5,2.963980577198245,2.978343617003499
787.6,2.963989657178657,2.9783490876028487
787.7,2.963998733734472,2.9783545561331706
787.8,2.9640078068674147,2.9783600225955027
787.9,2.9640168765791954,2.978365486990888
788.0,2.964025942871533,2.978370949320365
788.1,2.9640350057461404,2.9783764095849774
788.2,2.964044065204733,2.9783818677857585
788.3,2.964053121249023,2.97838732392375
788.4,2.964062173880717,2.9783927779999897
788.5,2.964071223101531,2.9783982300155114
788.6,2.9640802689131736,2.978403679971352
788.7,2.964089311317348,2.97840912786855
788.8,2.9640983503157643,2.9784145737081382
788.9,2.964107385910131,2.97842001749115
789.0,2.9641164181021473,2.9784254592186206
789.1,2.9641254468935223,2.9784308988915833
789.2,2.9641344722859553,2.9784363365110695
789.3,2.9641434942811498,2.97844177207811
789.4,2.9641525128808075,2.9784472055937354
789.5,2.9641615280866245,2.9784526370589792
789.6,2.9641705399002984,2.9784580664748685
789.7,2.964179548323532,2.978463493842434
789.8,2.96418855335802,2.978468919162703
789.9,2.964197555005454,2.9784743424367037
790.0,2.9642065532675326,2.978479763665462
790.1,2.9642155481459453,2.9784851828500045
790.2,2.964224539642388,2.97849059999136
790.3,2.9642335277585485,2.978496015090551
790.4,2.964242512496119,2.978501428148602
790.5,2.964251493856788,2.978506839166539
790.6,2.964260471842242,2.9785122481453845
790.7,2.9642694464541677,2.9785176550861596
790.8,2.9642784176942536,2.978523059989886
790.9,2.9642873855641843,2.9785284628575885
791.0,2.964296350065642,2.9785338636902856
791.1,2.964305311200308,2.978539262488996
791.2,2.9643142689698663,2.9785446592547413
791.3,2.9643232233759957,2.9785500539885397
791.4,2.964332174420378,2.978555446691411
791.5,2.96434112210469,2.9785608373643693
791.6,2.964350066430608,2.9785662260084362
791.7,2.964359007399812,2.9785716126246213
791.8,2.9643679450139766,2.978576997213944
791.9,2.964376879274771,2.9785823797774214
792.0,2.9643858101838743,2.9785877603160658
792.1,2.9643947377429556,2.97859313883089
792.2,2.9644036619536878,2.978598515322908
792.3,2.964412582817741,2.9786038897931335
792.4,2.9644215003367824,2.978609262242576
792.5,2.964430414512483,2.978614632672246
792.6,2.9644393253465053,2.9786200010831583
792.7,2.9644482328405197,2.978625367476321
792.8,2.964457136996191,2.9786307318527405
792.9,2.9644660378151793,2.9786360942134307
793.0,2.964474935299153,2.978641454559397
793.1,2.9644838294497675,2.9786468128916423
793.2,2.9644927202686886,2.9786521692111805
793.3,2.9645016077575725,2.9786575235190136
793.4,2.9645104919180816,2.978662875816151
793.5,2.9645193727518726,2.978668226103594
793.6,2.9645282502606016,2.9786735743823467
793.7,2.964537124445922,2.978678920653415
793.8,2.964545995309494,2.978684264917801
793.9,2.964554862852965,2.9786896071765083
794.0,2.9645637270779903,2.978694947430534
794.1,2.9645725879862215,2.978700285680886
794.2,2.964581445579313,2.9787056219285586
794.3,2.9645902998589078,2.9787109561745555
794.4,2.964599150826657,2.9787162884198772
794.5,2.964607998484207,2.97872161866552
794.6,2.9646168428332085,2.9787269469124817
794.7,2.9646256838753007,2.9787322731617576
794.8,2.9646345216121324,2.9787375974143506
794.9,2.964643356045346,2.9787429196712507
795.0,2.964652187176585,2.9787482399334584
795.1,2.964661015007489,2.9787535582019644
795.2,2.964669839539698,2.978758874477769
795.3,2.964678660774852,2.9787641887618563
795.4,2.96468747871459,2.9787695010552278
795.5,2.9646962933605483,2.978774811358875
795.6,2.964705104714361,2.9787801196737864
795.7,2.9647139127776687,2.978785426000954
795.8,2.9647227175521014,2.9787907303413705
795.9,2.9647315190392964,2.978796032696024
796.0,2.96474031724088,2.9788013330659044
796.1,2.9647491121584886,2.978806631451999
796.2,2.9647579037937497,2.9788119278553014
796.3,2.9647666921482934,2.978817222276792
796.4,2.9647754772237476,2.9788225147174603
796.5,2.96478425902174,2.978827805178294
796.6,2.9647930375438953,2.9788330936602807
796.7,2.964801812791841,2.9788383801644
796.8,2.9648105847672,2.97884366469164
796.9,2.9648193534715936,2.9788489472429855
797.0,2.964828118906648,2.978854227819416
797.1,2.9648368810739822,2.9788595064219168
797.2,2.9648456399752146,2.9788647830514687
797.3,2.9648543956119675,2.9788700577090554
797.4,2.964863147985857,2.9788753303956543
797.5,2.964871897098501,2.9788806011122477
797.6,2.9648806429515155,2.9788858698598153
797.7,2.9648893855465155,2.9788911366393362
797.8,2.964898124885116,2.9788964014517867
797.9,2.9649068609689277,2.9789016642981467
798.0,2.9649155937995664,2.9789069251793943
798.1,2.9649243233786398,2.9789121840965023
798.2,2.96493304970776,2.9789174410504495
798.3,2.9649417727885354,2.9789226960422117
798.4,2.964950492622576,2.9789279490727623
798.5,2.9649592092114863,2.9789332001430755
798.6,2.9649679225568732,2.978938449254124
798.7,2.9649766326603446,2.9789436964068834
798.8,2.9649853395234995,2.978948941602324
798.9,2.964994043147946,2.978954184841418
799.0,2.965002743535286,2.9789594261251375
799.1,2.965011440687116,2.97896466545445
799.2,2.9650201346050418,2.978969902830327
799.3,2.9650288252906596,2.9789751382537393
799.4,2.9650375127455675,2.978980371725657
799.5,2.965046196971365,2.978985603247042
799.6,2.9650548779696475,2.978990832818866
799.7,2.9650635557420095,2.978996060442097
799.8,2.965072230290044,2.979001286117703
799.9,2.965080901615348,2.979006509846643
800.0,2.9650895697195114,2.9790117316298863
800.1,2.965098234604127,2.9790169514683975
800.2,2.9651068962707825,2.979022169363139
800.3,2.9651155547210712,2.9790273853150753
800.4,2.9651242099565795,2.979032599325169
800.5,2.965132861978895,2.9790378113943845
800.6,2.9651415107896035,2.9790430215236787
800.7,2.965150156390291,2.979048229714013
800.8,2.9651587987825434,2.9790534359663536
800.9,2.9651674379679416,2.979058640281655
801.0,2.965176073948073,2.979063842660877
801.1,2.9651847067245125,2.9790690431049796
801.2,2.9651933362988463,2.9790742416149216
801.3,2.9652019626726505,2.9790794381916568
801.4,2.9652105858475064,2.9790846328361447
